Steppingstone sampler:
        No Stones:                  1000
        Start It:                   10000001
        It Per Stone:               5000
        Sample Freq:                1
        Dist:                       Beta(0.400000,1.000000)
Stone No	Power	N	Stone MLh	Running MLh
0	0.997502	3750	-1.009208	-1.009208
1	0.995007	3750	-1.010646	-2.019854
2	0.992517	3750	-0.995265	-3.015119
3	0.990030	3750	-1.030078	-4.045197
4	0.987547	3750	-1.010477	-5.055674
5	0.985067	3750	-0.992959	-6.048633
6	0.982592	3750	-1.004711	-7.053345
7	0.980120	3750	-0.996529	-8.049873
8	0.977652	3750	-0.999670	-9.049544
9	0.975187	3750	-1.009363	-10.058907
10	0.972726	3750	-0.995395	-11.054302
11	0.970269	3750	-1.010454	-12.064757
12	0.967816	3750	-0.989046	-13.053802
13	0.965367	3750	-0.999940	-14.053742
14	0.962921	3750	-1.009472	-15.063214
15	0.960479	3750	-0.978319	-16.041533
16	0.958040	3750	-1.020436	-17.061969
17	0.955606	3750	-1.018616	-18.080585
18	0.953175	3750	-1.000513	-19.081098
19	0.950747	3750	-1.007133	-20.088231
20	0.948324	3750	-1.001766	-21.089997
21	0.945904	3750	-0.994992	-22.084989
22	0.943488	3750	-0.997401	-23.082390
23	0.941076	3750	-0.994796	-24.077186
24	0.938667	3750	-0.952400	-25.029586
25	0.936262	3750	-0.978679	-26.008265
26	0.933861	3750	-0.997877	-27.006142
27	0.931463	3750	-0.968183	-27.974325
28	0.929069	3750	-0.983541	-28.957866
29	0.926679	3750	-0.973493	-29.931359
30	0.924293	3750	-0.969345	-30.900704
31	0.921910	3750	-0.989078	-31.889783
32	0.919531	3750	-0.986743	-32.876525
33	0.917155	3750	-0.996558	-33.873083
34	0.914783	3750	-0.969187	-34.842271
35	0.912415	3750	-0.962900	-35.805171
36	0.910051	3750	-0.942685	-36.747855
37	0.907690	3750	-0.985679	-37.733534
38	0.905333	3750	-0.973862	-38.707397
39	0.902980	3750	-0.957467	-39.664864
40	0.900630	3750	-0.948874	-40.613738
41	0.898284	3750	-0.952943	-41.566682
42	0.895942	3750	-0.947602	-42.514284
43	0.893603	3750	-0.962161	-43.476445
44	0.891268	3750	-0.946937	-44.423382
45	0.888937	3750	-0.951254	-45.374635
46	0.886609	3750	-0.956340	-46.330976
47	0.884285	3750	-0.944974	-47.275950
48	0.881965	3750	-0.937965	-48.213914
49	0.879648	3750	-0.940643	-49.154557
50	0.877335	3750	-0.931992	-50.086549
51	0.875026	3750	-0.929111	-51.015660
52	0.872720	3750	-0.946603	-51.962264
53	0.870418	3750	-0.950565	-52.912829
54	0.868120	3750	-0.943306	-53.856135
55	0.865825	3750	-0.951767	-54.807902
56	0.863534	3750	-0.948927	-55.756829
57	0.861246	3750	-0.916303	-56.673132
58	0.858962	3750	-0.945251	-57.618383
59	0.856682	3750	-0.938103	-58.556485
60	0.854405	3750	-0.924486	-59.480971
61	0.852132	3750	-0.928223	-60.409194
62	0.849863	3750	-0.918987	-61.328181
63	0.847597	3750	-0.935958	-62.264139
64	0.845335	3750	-0.915563	-63.179703
65	0.843077	3750	-0.920292	-64.099995
66	0.840822	3750	-0.919828	-65.019823
67	0.838571	3750	-0.924968	-65.944792
68	0.836323	3750	-0.909566	-66.854358
69	0.834079	3750	-0.897529	-67.751887
70	0.831839	3750	-0.904674	-68.656561
71	0.829602	3750	-0.908111	-69.564672
72	0.827369	3750	-0.917376	-70.482048
73	0.825140	3750	-0.934269	-71.416317
74	0.822914	3750	-0.924294	-72.340612
75	0.820691	3750	-0.918564	-73.259176
76	0.818473	3750	-0.926502	-74.185678
77	0.816258	3750	-0.923589	-75.109267
78	0.814046	3750	-0.933713	-76.042980
79	0.811838	3750	-0.903207	-76.946188
80	0.809634	3750	-0.905885	-77.852072
81	0.807433	3750	-0.901617	-78.753689
82	0.805236	3750	-0.915821	-79.669511
83	0.803043	3750	-0.915341	-80.584851
84	0.800853	3750	-0.922435	-81.507286
85	0.798667	3750	-0.924822	-82.432109
86	0.796484	3750	-0.910891	-83.343000
87	0.794305	3750	-0.917238	-84.260238
88	0.792129	3750	-0.910755	-85.170993
89	0.789957	3750	-0.900322	-86.071315
90	0.787789	3750	-0.908176	-86.979491
91	0.785624	3750	-0.898945	-87.878436
92	0.783463	3750	-0.907457	-88.785893
93	0.781305	3750	-0.904413	-89.690306
94	0.779151	3750	-0.910039	-90.600345
95	0.777000	3750	-0.895292	-91.495637
96	0.774853	3750	-0.896054	-92.391691
97	0.772710	3750	-0.861278	-93.252969
98	0.770570	3750	-0.877703	-94.130672
99	0.768433	3750	-0.879264	-95.009936
100	0.766301	3750	-0.890080	-95.900016
101	0.764172	3750	-0.895014	-96.795029
102	0.762046	3750	-0.890414	-97.685443
103	0.759924	3750	-0.886066	-98.571509
104	0.757805	3750	-0.886660	-99.458168
105	0.755690	3750	-0.876454	-100.334622
106	0.753579	3750	-0.880315	-101.214938
107	0.751471	3750	-0.891152	-102.106090
108	0.749366	3750	-0.872303	-102.978393
109	0.747266	3750	-0.882990	-103.861383
110	0.745168	3750	-0.881216	-104.742600
111	0.743075	3750	-0.883517	-105.626116
112	0.740984	3750	-0.877117	-106.503233
113	0.738898	3750	-0.876389	-107.379622
114	0.736815	3750	-0.875792	-108.255413
115	0.734735	3750	-0.896250	-109.151663
116	0.732659	3750	-0.866406	-110.018069
117	0.730586	3750	-0.867564	-110.885632
118	0.728517	3750	-0.876026	-111.761658
119	0.726452	3750	-0.872981	-112.634639
120	0.724390	3750	-0.853090	-113.487729
121	0.722331	3750	-0.856893	-114.344622
122	0.720276	3750	-0.867364	-115.211986
123	0.718225	3750	-0.848970	-116.060956
124	0.716177	3750	-0.852900	-116.913856
125	0.714132	3750	-0.852084	-117.765941
126	0.712091	3750	-0.875254	-118.641195
127	0.710054	3750	-0.859564	-119.500759
128	0.708020	3750	-0.865408	-120.366167
129	0.705989	3750	-0.874475	-121.240641
130	0.703962	3750	-0.850689	-122.091330
131	0.701939	3750	-0.855182	-122.946513
132	0.699919	3750	-0.844594	-123.791107
133	0.697902	3750	-0.835606	-124.626713
134	0.695889	3750	-0.851207	-125.477920
135	0.693880	3750	-0.831854	-126.309774
136	0.691874	3750	-0.833945	-127.143719
137	0.689871	3750	-0.845047	-127.988766
138	0.687872	3750	-0.859143	-128.847909
139	0.685877	3750	-0.839499	-129.687409
140	0.683885	3750	-0.853282	-130.540691
141	0.681896	3750	-0.819443	-131.360133
142	0.679911	3750	-0.821118	-132.181251
143	0.677929	3750	-0.819992	-133.001243
144	0.675951	3750	-0.854804	-133.856047
145	0.673976	3750	-0.820380	-134.676427
146	0.672005	3750	-0.845392	-135.521819
147	0.670037	3750	-0.824516	-136.346335
148	0.668073	3750	-0.831051	-137.177386
149	0.666112	3750	-0.835765	-138.013150
150	0.664155	3750	-0.817774	-138.830924
151	0.662201	3750	-0.829394	-139.660317
152	0.660250	3750	-0.812495	-140.472813
153	0.658303	3750	-0.833654	-141.306467
154	0.656359	3750	-0.810738	-142.117205
155	0.654419	3750	-0.804430	-142.921635
156	0.652483	3750	-0.803624	-143.725258
157	0.650549	3750	-0.814566	-144.539824
158	0.648619	3750	-0.823203	-145.363027
159	0.646693	3750	-0.810888	-146.173915
160	0.644770	3750	-0.811166	-146.985081
161	0.642851	3750	-0.819055	-147.804136
162	0.640934	3750	-0.803075	-148.607211
163	0.639022	3750	-0.798109	-149.405320
164	0.637113	3750	-0.811719	-150.217039
165	0.635207	3750	-0.800581	-151.017620
166	0.633304	3750	-0.818544	-151.836164
167	0.631405	3750	-0.803857	-152.640021
168	0.629510	3750	-0.810321	-153.450342
169	0.627618	3750	-0.829168	-154.279510
170	0.625729	3750	-0.784229	-155.063738
171	0.623844	3750	-0.785977	-155.849715
172	0.621962	3750	-0.794446	-156.644161
173	0.620083	3750	-0.786462	-157.430623
174	0.618208	3750	-0.801157	-158.231781
175	0.616337	3750	-0.805682	-159.037463
176	0.614468	3750	-0.779951	-159.817414
177	0.612604	3750	-0.796444	-160.613859
178	0.610742	3750	-0.776835	-161.390694
179	0.608884	3750	-0.799804	-162.190498
180	0.607029	3750	-0.781666	-162.972164
181	0.605178	3750	-0.794859	-163.767023
182	0.603330	3750	-0.779688	-164.546711
183	0.601486	3750	-0.782975	-165.329686
184	0.599645	3750	-0.770796	-166.100483
185	0.597807	3750	-0.788211	-166.888693
186	0.595973	3750	-0.790548	-167.679241
187	0.594142	3750	-0.781099	-168.460340
188	0.592314	3750	-0.782547	-169.242887
189	0.590490	3750	-0.778128	-170.021015
190	0.588669	3750	-0.785169	-170.806184
191	0.586852	3750	-0.790050	-171.596233
192	0.585038	3750	-0.762875	-172.359108
193	0.583227	3750	-0.777938	-173.137046
194	0.581420	3750	-0.769869	-173.906915
195	0.579616	3750	-0.761960	-174.668875
196	0.577815	3750	-0.766686	-175.435561
197	0.576018	3750	-0.759770	-176.195331
198	0.574224	3750	-0.769050	-176.964381
199	0.572433	3750	-0.753487	-177.717868
200	0.570646	3750	-0.769544	-178.487412
201	0.568862	3750	-0.771646	-179.259057
202	0.567082	3750	-0.775316	-180.034373
203	0.565305	3750	-0.753535	-180.787908
204	0.563531	3750	-0.776936	-181.564844
205	0.561761	3750	-0.761973	-182.326817
206	0.559993	3750	-0.748877	-183.075694
207	0.558230	3750	-0.744599	-183.820293
208	0.556469	3750	-0.753257	-184.573550
209	0.554712	3750	-0.747523	-185.321073
210	0.552958	3750	-0.754876	-186.075948
211	0.551208	3750	-0.743886	-186.819834
212	0.549461	3750	-0.753896	-187.573731
213	0.547717	3750	-0.740147	-188.313877
214	0.545977	3750	-0.741561	-189.055438
215	0.544240	3750	-0.744588	-189.800027
216	0.542506	3750	-0.730035	-190.530062
217	0.540775	3750	-0.747343	-191.277404
218	0.539048	3750	-0.753618	-192.031022
219	0.537324	3750	-0.737636	-192.768659
220	0.535604	3750	-0.734065	-193.502724
221	0.533887	3750	-0.744706	-194.247430
222	0.532173	3750	-0.749863	-194.997293
223	0.530462	3750	-0.731620	-195.728913
224	0.528755	3750	-0.732564	-196.461476
225	0.527051	3750	-0.736217	-197.197693
226	0.525350	3750	-0.741049	-197.938743
227	0.523653	3750	-0.738492	-198.677235
228	0.521958	3750	-0.725235	-199.402470
229	0.520268	3750	-0.723733	-200.126203
230	0.518580	3750	-0.722715	-200.848918
231	0.516896	3750	-0.732442	-201.581360
232	0.515215	3750	-0.730422	-202.311782
233	0.513537	3750	-0.743864	-203.055647
234	0.511863	3750	-0.715615	-203.771261
235	0.510192	3750	-0.711914	-204.483176
236	0.508524	3750	-0.727368	-205.210544
237	0.506859	3750	-0.721632	-205.932176
238	0.505198	3750	-0.730768	-206.662944
239	0.503540	3750	-0.713330	-207.376274
240	0.501885	3750	-0.736156	-208.112430
241	0.500234	3750	-0.722027	-208.834457
242	0.498586	3750	-0.710467	-209.544924
243	0.496941	3750	-0.713995	-210.258919
244	0.495299	3750	-0.713088	-210.972008
245	0.493660	3750	-0.711900	-211.683908
246	0.492025	3750	-0.724717	-212.408625
247	0.490393	3750	-0.725730	-213.134355
248	0.488765	3750	-0.714626	-213.848980
249	0.487139	3750	-0.707738	-214.556718
250	0.485517	3750	-0.702089	-215.258808
251	0.483898	3750	-0.701332	-215.960140
252	0.482283	3750	-0.711600	-216.671739
253	0.480670	3750	-0.709128	-217.380867
254	0.479061	3750	-0.700043	-218.080910
255	0.477455	3750	-0.700845	-218.781755
256	0.475852	3750	-0.706471	-219.488226
257	0.474253	3750	-0.689148	-220.177374
258	0.472656	3750	-0.705350	-220.882724
259	0.471063	3750	-0.683792	-221.566516
260	0.469474	3750	-0.677431	-222.243947
261	0.467887	3750	-0.678462	-222.922408
262	0.466304	3750	-0.675381	-223.597790
263	0.464723	3750	-0.689489	-224.287279
264	0.463146	3750	-0.677904	-224.965183
265	0.461573	3750	-0.686640	-225.651822
266	0.460002	3750	-0.679939	-226.331761
267	0.458435	3750	-0.691582	-227.023343
268	0.456871	3750	-0.678071	-227.701415
269	0.455310	3750	-0.685047	-228.386462
270	0.453752	3750	-0.670552	-229.057014
271	0.452198	3750	-0.672116	-229.729130
272	0.450647	3750	-0.682456	-230.411587
273	0.449098	3750	-0.667727	-231.079314
274	0.447554	3750	-0.671042	-231.750356
275	0.446012	3750	-0.680586	-232.430941
276	0.444473	3750	-0.677281	-233.108222
277	0.442938	3750	-0.669129	-233.777352
278	0.441406	3750	-0.676511	-234.453863
279	0.439877	3750	-0.679310	-235.133173
280	0.438351	3750	-0.652348	-235.785521
281	0.436829	3750	-0.674345	-236.459866
282	0.435309	3750	-0.660298	-237.120164
283	0.433793	3750	-0.664066	-237.784230
284	0.432280	3750	-0.661948	-238.446179
285	0.430770	3750	-0.663582	-239.109761
286	0.429263	3750	-0.660405	-239.770166
287	0.427760	3750	-0.648038	-240.418204
288	0.426259	3750	-0.658613	-241.076817
289	0.424762	3750	-0.651734	-241.728551
290	0.423268	3750	-0.664561	-242.393113
291	0.421777	3750	-0.646092	-243.039205
292	0.420289	3750	-0.652001	-243.691206
293	0.418805	3750	-0.653071	-244.344277
294	0.417323	3750	-0.658211	-245.002488
295	0.415845	3750	-0.643994	-245.646483
296	0.414370	3750	-0.642993	-246.289476
297	0.412898	3750	-0.641211	-246.930687
298	0.411429	3750	-0.662972	-247.593659
299	0.409963	3750	-0.637703	-248.231362
300	0.408501	3750	-0.638914	-248.870276
301	0.407041	3750	-0.638305	-249.508581
302	0.405585	3750	-0.651933	-250.160514
303	0.404132	3750	-0.635399	-250.795913
304	0.402682	3750	-0.639288	-251.435201
305	0.401235	3750	-0.644109	-252.079310
306	0.399791	3750	-0.633751	-252.713061
307	0.398350	3750	-0.634322	-253.347383
308	0.396913	3750	-0.636140	-253.983523
309	0.395478	3750	-0.623220	-254.606743
310	0.394047	3750	-0.620482	-255.227224
311	0.392619	3750	-0.627191	-255.854415
312	0.391194	3750	-0.634596	-256.489011
313	0.389772	3750	-0.640170	-257.129181
314	0.388353	3750	-0.631089	-257.760271
315	0.386937	3750	-0.637393	-258.397664
316	0.385524	3750	-0.617432	-259.015096
317	0.384115	3750	-0.637707	-259.652803
318	0.382708	3750	-0.612902	-260.265705
319	0.381305	3750	-0.623798	-260.889502
320	0.379904	3750	-0.611622	-261.501124
321	0.378507	3750	-0.632693	-262.133818
322	0.377113	3750	-0.618667	-262.752485
323	0.375722	3750	-0.614418	-263.366902
324	0.374334	3750	-0.621510	-263.988412
325	0.372949	3750	-0.613471	-264.601883
326	0.371567	3750	-0.617931	-265.219814
327	0.370189	3750	-0.618853	-265.838667
328	0.368813	3750	-0.618005	-266.456672
329	0.367440	3750	-0.606115	-267.062787
330	0.366071	3750	-0.618699	-267.681486
331	0.364705	3750	-0.604073	-268.285558
332	0.363341	3750	-0.601405	-268.886964
333	0.361981	3750	-0.598893	-269.485857
334	0.360624	3750	-0.605661	-270.091518
335	0.359269	3750	-0.607615	-270.699133
336	0.357918	3750	-0.592707	-271.291841
337	0.356570	3750	-0.602542	-271.894382
338	0.355225	3750	-0.601569	-272.495951
339	0.353883	3750	-0.604046	-273.099997
340	0.352544	3750	-0.598042	-273.698040
341	0.351208	3750	-0.589921	-274.287960
342	0.349875	3750	-0.597812	-274.885773
343	0.348546	3750	-0.590088	-275.475861
344	0.347219	3750	-0.591765	-276.067626
345	0.345895	3750	-0.597174	-276.664800
346	0.344574	3750	-0.594146	-277.258946
347	0.343257	3750	-0.582187	-277.841133
348	0.341942	3750	-0.587314	-278.428447
349	0.340630	3750	-0.582245	-279.010692
350	0.339322	3750	-0.584267	-279.594959
351	0.338016	3750	-0.574544	-280.169503
352	0.336714	3750	-0.577516	-280.747019
353	0.335414	3750	-0.583022	-281.330041
354	0.334118	3750	-0.578116	-281.908157
355	0.332824	3750	-0.591598	-282.499755
356	0.331534	3750	-0.575060	-283.074815
357	0.330246	3750	-0.569511	-283.644326
358	0.328962	3750	-0.567874	-284.212199
359	0.327680	3750	-0.577783	-284.789983
360	0.326401	3750	-0.575503	-285.365486
361	0.325126	3750	-0.569522	-285.935007
362	0.323853	3750	-0.568551	-286.503559
363	0.322584	3750	-0.571447	-287.075006
364	0.321317	3750	-0.565616	-287.640622
365	0.320054	3750	-0.570460	-288.211082
366	0.318793	3750	-0.562442	-288.773524
367	0.317536	3750	-0.559264	-289.332787
368	0.316281	3750	-0.561941	-289.894728
369	0.315030	3750	-0.564993	-290.459721
370	0.313781	3750	-0.563771	-291.023492
371	0.312535	3750	-0.549897	-291.573388
372	0.311293	3750	-0.562070	-292.135458
373	0.310053	3750	-0.556907	-292.692365
374	0.308816	3750	-0.556093	-293.248458
375	0.307582	3750	-0.550635	-293.799093
376	0.306352	3750	-0.551777	-294.350870
377	0.305124	3750	-0.548247	-294.899117
378	0.303899	3750	-0.554824	-295.453941
379	0.302677	3750	-0.549067	-296.003008
380	0.301458	3750	-0.551940	-296.554947
381	0.300242	3750	-0.562381	-297.117329
382	0.299029	3750	-0.538125	-297.655453
383	0.297819	3750	-0.533286	-298.188739
384	0.296611	3750	-0.539155	-298.727894
385	0.295407	3750	-0.536767	-299.264662
386	0.294206	3750	-0.545500	-299.810162
387	0.293007	3750	-0.534832	-300.344994
388	0.291812	3750	-0.539433	-300.884427
